BEEID,CHOICENUM,NUMBER,CHOICE,test_type
34,1,large,1,UD
34,2,large,1,UD
34,3,large,1,UD
34,4,large,0,UD
34,5,large,0,UD
34,6,large,0,UD
34,7,large,0,UD
34,8,large,0,UD
34,9,large,0,UD
34,10,large,0,UD
35,1,large,1,UD
35,2,large,1,UD
35,3,large,0,UD
35,4,large,0,UD
35,5,large,0,UD
35,6,large,0,UD
35,7,large,0,UD
35,8,large,0,UD
35,9,large,0,UD
35,10,large,0,UD
36,1,large,1,UD
36,2,large,1,UD
36,3,large,1,UD
36,4,large,0,UD
36,5,large,0,UD
36,6,large,0,UD
36,7,large,0,UD
36,8,large,0,UD
36,9,large,0,UD
36,10,large,0,UD
37,1,large,1,UD
37,2,large,1,UD
37,3,large,1,UD
37,4,large,0,UD
37,5,large,0,UD
37,6,large,0,UD
37,7,large,0,UD
37,8,large,0,UD
37,9,large,0,UD
37,10,large,0,UD
38,1,large,1,UD
38,2,large,1,UD
38,3,large,0,UD
38,4,large,0,UD
38,5,large,0,UD
38,6,large,0,UD
38,7,large,0,UD
38,8,large,0,UD
38,9,large,0,UD
38,10,large,0,UD
39,1,large,1,UD
39,2,large,1,UD
39,3,large,1,UD
39,4,large,0,UD
39,5,large,0,UD
39,6,large,0,UD
39,7,large,0,UD
39,8,large,0,UD
39,9,large,0,UD
39,10,large,0,UD
40,1,large,1,UD
40,2,large,1,UD
40,3,large,1,UD
40,4,large,0,UD
40,5,large,0,UD
40,6,large,0,UD
40,7,large,0,UD
40,8,large,0,UD
40,9,large,0,UD
40,10,large,0,UD
41,1,large,1,UD
41,2,large,0,UD
41,3,large,0,UD
41,4,large,0,UD
41,5,large,0,UD
41,6,large,0,UD
41,7,large,0,UD
41,8,large,0,UD
41,9,large,0,UD
41,10,large,0,UD
42,1,large,1,UD
42,2,large,1,UD
42,3,large,1,UD
42,4,large,1,UD
42,5,large,0,UD
42,6,large,0,UD
42,7,large,0,UD
42,8,large,0,UD
42,9,large,0,UD
42,10,large,0,UD
